Part_ID,Date,Shift,Machine,Operator,Supplier,True_Diameter_mm,Diameter_mm,True_Length_mm,Length_mm,Temperature_C,Cycle_Time_sec,Defect_Type,Inspection_Result
P00022,2026-02-20,A,M2,O1,Supplier C,20.031152670906142,20.039063343560034,49.85015967710959,49.85473943288708,21.65399893844484,46.30634772953254,None,Pass
P00023,2026-01-11,A,M1,O1,Supplier B,20.01216679304602,20.006856488584052,50.115409957418834,50.1135797622327,21.78694528778082,40.179880754183976,None,Pass
P00024,2026-03-02,C,M4,O2,Supplier B,19.982976038858393,19.993489434166534,49.94039358418456,49.95298199332228,21.284171951332297,44.895822999783064,None,Pass
P00025,2026-02-02,A,M4,O1,Supplier B,20.011492014443796,20.008972893829686,49.98581800132509,49.98463175731526,20.79720857707229,45.22269128547592,None,Pass
P00026,2026-01-11,A,M3,O3,Supplier C,20.199207195303106,20.188784165893903,50.11413945676606,50.13195875243491,23.990313806933074,45.904793964448714,None,Pass
P00027,2026-01-31,C,M2,O3,Supplier A,20.005782656797617,20.000288016085076,49.903093520285964,49.90205041192897,18.818045378351854,39.95830849918687,Tool mark,Fail
P00028,2026-01-31,A,M4,O1,Supplier A,19.997744872726898,19.996289864605174,50.13094291253654,50.11731310522147,20.93955743686039,44.31914175170141,None,Pass
P00029,2026-01-28,C,M3,O3,Supplier B,20.204899222821737,20.202778044232314,49.85120207040161,49.85192345576616,20.40297170473951,44.56623751167767,None,Pass
P00030,2026-02-09,B,M2,O3,Supplier B,20.023735608344953,20.022901619593416,50.00429407265264,50.00209148231676,23.32930582936002,45.17087022307841,None,Pass
P00031,2026-01-19,B,M2,O2,Supplier A,20.043124594340497,20.061139854166406,49.82087222584821,49.82389260405146,21.48821255315934,43.41579995557076,None,Pass
P00032,2026-03-05,C,M1,O2,Supplier B,19.95765388181071,19.961302677059354,49.94882751435057,49.944903450208685,22.79180318098993,41.73771364499665,None,Pass
P00033,2026-01-22,C,M1,O2,Supplier A,19.957419543448275,19.981000983386313,50.123009401112654,50.13809897694195,20.521335337030333,42.6981794345723,None,Pass
P00034,2026-02-25,A,M3,O2,Supplier A,20.241889163762103,20.24617319883612,49.777767611069414,49.78966834176975,21.198297025506047,45.426043666228615,None,Pass
P00035,2026-02-23,C,M4,O1,Supplier B,20.0407654617635,20.032168652411258,49.80378844575451,49.81550183808155,21.709497217609144,42.04042710397896,None,Pass
P00036,2026-01-29,C,M1,O1,Supplier A,19.954011324621806,19.962417636675205,50.11796896886022,50.11841521184177,19.455878223112826,40.48296654922459,None,Pass
P00037,2026-01-16,C,M4,O3,Supplier B,20.006393270739533,20.00989978881568,49.93591265627308,49.945707540678924,24.08571510788325,42.389297266918355,None,Pass
P00038,2026-03-04,B,M4,O2,Supplier B,19.968223401492985,19.98550990659841,49.96538257183416,49.971317456577346,20.838167440671118,43.227068717047004,None,Pass
P00039,2026-02-08,B,M2,O1,Supplier B,19.907562716700262,19.894280142790553,50.08855756590812,50.080868590909304,23.976186192369237,42.967467012902205,None,Pass
P00040,2026-01-24,B,M3,O2,Supplier B,20.199366222406198,20.189110452776358,50.080654471631426,50.08024591520592,19.72644347668345,46.42758527816515,None,Pass
P00041,2026-01-14,A,M1,O2,Supplier C,19.96052156689639,19.94565731112148,49.845050150444436,49.860707603312925,23.5968045953967,40.23813961967465,Surface finish,Fail
P00042,2026-01-25,B,M4,O1,Supplier B,19.936297319250528,19.920795937291626,49.98942860525199,49.992037204652185,20.51821214463562,43.1555049265398,None,Pass
P00043,2026-02-13,B,M3,O1,Supplier B,20.22133429028731,20.206495337898808,50.008468262580024,50.009998042586865,23.682505346406654,44.08849112564682,None,Pass
P00044,2026-02-04,B,M2,O3,Supplier A,19.978367667637105,19.98378341760693,49.97949709306284,49.97627353538232,22.381204436608886,41.905733899338806,None,Pass
P00045,2026-01-08,A,M1,O2,Supplier C,20.00206812731848,20.006500362177285,49.91349021297825,49.93346921727712,22.24922552233815,41.89393419259257,None,Pass
P00046,2026-02-20,B,M4,O2,Supplier A,19.98897667885067,19.99239446547806,50.041998297154464,50.04625674292559,21.073400095528033,42.979863016060776,None,Pass
P00047,2026-01-24,B,M2,O1,Supplier A,20.03561758456741,20.02122214387439,49.92930271987114,49.92545962387287,21.376180727233557,43.29728361122127,Surface finish,Fail
P00048,2026-01-16,B,M4,O1,Supplier C,19.96139701680825,19.96450722714972,50.014690008024004,50.00818508136826,22.92531630605865,46.296736382892234,None,Pass
P00049,2026-02-15,C,M3,O2,Supplier A,20.227280605499168,20.23892436729006,49.99355987387347,50.00219192429378,22.840387819359165,45.42853978351635,None,Pass
P00050,2026-02-18,C,M4,O1,Supplier A,20.0306841245932,20.01384629404963,50.04916273998365,50.05477589774249,21.53241949787099,47.245868362911985,None,Pass
P00051,2026-02-23,A,M4,O1,Supplier A,19.985392701994027,19.978415194685326,49.79310311289458,49.79066127886603,20.20229798827063,42.95122204618683,None,Pass
P00052,2026-01-05,A,M1,O1,Supplier C,19.999554890696302,19.989072028538867,50.02006379972851,50.015652219360234,20.972943921205673,41.69423706944464,None,Pass
P00053,2026-01-28,B,M2,O3,Supplier C,19.96317643648394,19.9781908967212,50.17744803851782,50.17067458087318,20.93916071898458,47.47701052446072,None,Pass
P00054,2026-01-20,B,M2,O3,Supplier C,19.981050844495012,19.983817856706025,50.13493627437521,50.14947304709663,21.55093646477424,44.28914659221394,None,Pass
P00055,2026-02-08,C,M2,O1,Supplier A,20.02660359131833,20.022515090160653,49.92397016675648,49.90894185626397,22.253989650985915,40.77597717132098,None,Pass
P00056,2026-03-04,A,M1,O1,Supplier B,19.978998025971016,19.976683496206828,50.04168252594845,50.02776810426737,21.064705621335705,42.6631499769859,None,Pass
P00057,2026-01-12,A,M3,O3,Supplier C,20.270666419234225,20.27320212347338,49.94094076576892,49.94642207374007,22.39365551189494,44.24685319798166,None,Pass
P00058,2026-02-13,B,M1,O2,Supplier B,19.965589479311518,19.973777020318476,49.91531982183543,49.92046944718379,22.856128791842774,40.55733945085212,None,Pass
P00059,2026-01-31,C,M3,O3,Supplier A,20.232143203607496,20.216157483269445,50.021453141952755,50.02658478585464,22.016830170441708,47.01145620213504,None,Pass
P00060,2026-02-01,C,M3,O3,Supplier C,20.208034557061136,20.209053463940762,49.97129219032104,49.971897983358815,19.85385428297446,43.70212747899816,None,Pass
P00061,2026-03-02,C,M4,O3,Supplier A,20.0123117207943,20.036756257196792,49.76376704440978,49.75328386257649,20.518909100273316,43.57081749000655,Surface finish,Fail
P00062,2026-02-17,B,M3,O1,Supplier C,20.220157332216434,20.20849472008226,50.1123482984642,50.09630399036297,24.938520230193856,45.671950123125,None,Pass
P00063,2026-01-10,C,M2,O2,Supplier B,20.0500951022442,20.06353356963026,50.048841498159355,50.04124705419061,23.80809961127282,41.95207953734475,None,Pass
P00064,2026-01-31,A,M4,O2,Supplier C,19.99866654567023,20.009541042602795,50.101675526492606,50.12607281639557,20.15154756168388,41.49999110792669,None,Pass
P00065,2026-02-18,B,M2,O3,Supplier B,20.04372142573045,20.043933882355265,50.069070132713776,50.06153063157228,20.38657318604596,43.376245289154845,None,Pass
P00066,2026-01-11,C,M2,O2,Supplier C,19.94792806401119,19.94641140720399,50.135067330985486,50.13761394378568,23.878822586847654,43.11691724381746,None,Pass
P00067,2026-02-04,B,M4,O3,Supplier C,19.915013909224864,19.920344833296582,50.05841988148262,50.068183032075055,21.232297585767636,43.913676209604624,None,Pass
P00068,2026-02-03,C,M2,O3,Supplier B,20.052300979357323,20.050262002936137,49.866604692304634,49.875491744551674,22.183559924916242,42.99438424545008,None,Pass
P00069,2026-01-09,A,M1,O3,Supplier A,20.083403668775812,20.08358641249123,49.86324444779809,49.85818957080442,22.661409614761787,43.70460612978939,Burr,Fail
P00070,2026-03-03,A,M2,O2,Supplier A,19.990097977439863,19.999618305312257,49.946648783583406,49.94822421859988,21.21914990913301,42.63109777293878,None,Pass
P00071,2026-01-27,B,M4,O2,Supplier C,20.045559133558832,20.043949391795525,49.89425102401863,49.89954129336567,21.65623682068119,45.111537813852614,None,Pass
P00072,2026-01-21,C,M1,O1,Supplier C,19.987396563729018,19.98042995332548,49.722442734291576,49.71316596745152,22.297025067562252,41.28856125216347,None,Pass
P00073,2026-01-10,A,M2,O3,Supplier B,19.982790374235424,19.98948979813124,49.87489365735544,49.88133042640441,22.240512290257737,45.168226588251166,None,Pass
P00074,2026-01-08,C,M1,O1,Supplier A,20.030183387009444,20.025884992061208,50.13421236287939,50.153604790409574,23.14698000541444,41.785493440769976,None,Pass
P00075,2026-01-16,A,M3,O1,Supplier C,20.223180189981207,20.204565095915566,49.87006750664223,49.86257794982134,24.301140844974313,46.8622365931666,None,Pass
P00076,2026-02-18,C,M2,O2,Supplier B,19.995692525510407,20.004827171728035,50.02784806122114,50.029004328292885,20.85462305361012,42.5732104608533,None,Pass
P00077,2026-01-21,B,M2,O2,Supplier A,20.04888594429401,20.059499342112062,49.89773371441732,49.909664531165575,23.312984712402844,41.821197469976184,None,Pass
P00078,2026-02-01,A,M1,O2,Supplier B,19.992967050120033,20.00442814109817,50.001898904932375,49.9879273014713,21.082906817375555,40.709957411835205,None,Pass
P00079,2026-02-13,C,M3,O1,Supplier C,20.21036207028131,20.204679278518327,49.95534115041551,49.95306120622569,24.288352611913776,45.99599096232926,None,Pass
P00080,2026-01-25,C,M3,O3,Supplier C,20.197080132602224,20.190440307248334,49.90675789144196,49.90038487218147,20.0973254617668,42.98551408684204,None,Pass
P00081,2026-01-29,B,M4,O3,Supplier B,20.014149667772013,20.00532749474165,50.04646006285281,50.06026967784024,20.33441856870792,43.93797987875338,None,Pass
P00082,2026-02-03,A,M2,O1,Supplier C,20.01363682015538,20.006484262109673,49.93729560413705,49.926283097569765,20.731310618238634,42.42344718671336,None,Pass
P00083,2026-02-28,A,M1,O2,Supplier C,19.96889075087108,19.98071426321869,49.85741952965158,49.86295717413185,21.835173855767685,42.45278967642538,None,Pass
P00084,2026-03-01,C,M4,O1,Supplier B,19.989597109827354,19.9799792337949,49.986695132007064,49.98158882665695,22.234207760550024,44.726237622562074,None,Pass
P00085,2026-01-22,B,M3,O3,Supplier A,20.22584964654823,20.24130589687823,50.17691546236804,50.18088401452766,23.414539268188836,44.815722222197834,None,Pass
P00086,2026-01-20,C,M3,O2,Supplier A,20.194254892162444,20.195532866122576,49.91103113100452,49.92308994405002,20.234264506875125,43.18465011986156,None,Pass
P00087,2026-01-29,B,M1,O2,Supplier A,19.989644952049336,20.00683853324884,49.9871438223711,49.997014353523824,20.617640446042206,41.60902999464207,None,Pass
P00088,2026-01-17,C,M2,O1,Supplier A,19.998566435589282,19.99776748411074,50.088579280916264,50.07593861069161,23.490131169075717,43.38371228543644,None,Pass
P00089,2026-02-08,A,M4,O3,Supplier C,20.00984629329713,20.006577892946584,50.001303232901016,50.00430661506457,22.632104733808074,43.6491365813259,None,Pass
P00090,2026-02-06,B,M4,O2,Supplier A,20.049244180050245,20.045878204616276,49.82193140605214,49.83640720482023,23.104941036327094,46.249132883046734,None,Pass
P00091,2026-02-01,B,M2,O3,Supplier A,19.97347975054286,19.978552725061885,49.85138748600754,49.84700708438894,19.505379113894183,42.27184649917239,None,Pass
P00092,2026-02-01,A,M4,O1,Supplier C,19.9987876507659,19.993725481999796,49.77107601259882,49.7638498142561,22.413579865963445,45.10064393908472,None,Pass
P00093,2026-02-25,A,M4,O1,Supplier B,20.011742834553257,20.001765424744317,49.972046887164275,49.973608725447775,18.754925787788782,41.81164825244333,None,Pass
P00094,2026-01-13,B,M2,O3,Supplier A,19.96205068909001,19.963483944139245,49.835458921132656,49.82724048802661,24.040570760590757,43.865924231039806,None,Pass
P00095,2026-02-19,C,M4,O1,Supplier C,19.990296176089103,19.988151808199103,49.906995790538026,49.907614384468204,22.789190953214252,44.31661205953182,None,Pass
P00096,2026-02-08,B,M2,O1,Supplier C,20.01674797372527,20.005625108650126,50.02924165517907,50.02980740790736,22.738160902916103,44.62023898897873,None,Pass
P00097,2026-02-21,A,M1,O1,Supplier B,20.003117643398628,19.999957675125668,49.97411409686174,49.960459199728646,22.640478375099462,41.743172483327214,None,Pass
P00098,2026-02-08,C,M3,O2,Supplier A,20.26159246215536,20.25008749327806,49.79198860965694,49.80195599174066,21.51266333950207,43.12026470570634,None,Pass
P00099,2026-02-20,A,M3,O1,Supplier B,20.19578264480345,20.180910502877335,49.97837545355548,49.97323758142756,21.59512429596454,45.536891946249085,None,Pass
P00100,2026-02-10,A,M1,O2,Supplier C,19.98872382571192,20.00203676569381,49.986138839434446,49.98789253055113,22.02526600173636,42.10693211658824,None,Pass
P00101,2026-02-16,C,M4,O3,Supplier C,20.00728797912479,20.005154489765648,50.17127534862522,50.17852040675554,22.28472653733159,42.84365130805216,None,Pass
P00102,2026-01-29,C,M1,O1,Supplier B,20.03941386013735,20.040608265835562,50.01343414062908,50.00261698205697,19.79427768852977,43.31530945933365,None,Pass
P00103,2026-02-27,C,M4,O1,Supplier C,20.06282125168721,20.06307676820531,50.10474901032854,50.10231316001715,19.655012209347763,42.527441775296936,None,Pass
P00104,2026-01-22,C,M1,O2,Supplier C,20.01846576140219,20.03210968724775,50.222584454563275,50.23096064528228,22.538769478779038,42.33932418433307,Surface finish,Fail
P00105,2026-02-17,B,M4,O2,Supplier A,20.000935243465737,20.012288060275004,50.14421082351354,50.15425085363618,21.559731962355727,44.02854973277338,None,Pass
P00106,2026-01-24,A,M4,O2,Supplier B,20.008995381676673,20.02191508025515,49.8647362354012,49.881520142125055,19.108064263178516,45.33646269234687,None,Pass
P00107,2026-02-21,A,M4,O2,Supplier B,20.004014817225304,19.998065916873617,49.972405443503646,49.982646713768524,20.83680822877089,46.73719571173054,None,Pass
P00108,2026-02-24,C,M3,O3,Supplier C,20.19160006354227,20.205561863684864,50.341163301792776,50.34366404306248,20.554487481298075,44.119859121001056,None,Pass
P00109,2026-01-16,C,M2,O3,Supplier B,20.001848501291477,20.007525085828266,49.89571497669081,49.8922132699706,23.840856009786968,43.56186303810483,None,Pass
P00110,2026-02-11,B,M3,O2,Supplier C,20.18181640889263,20.207663127016943,49.990031937112825,50.00211680276227,24.943959774753832,45.02818629229016,None,Pass
P00111,2026-02-05,B,M2,O3,Supplier B,20.0094850661788,20.009127578573104,50.11156412429226,50.11699998465412,20.224225318042038,44.45797373448274,None,Pass
P00112,2026-01-28,A,M4,O2,Supplier A,20.051739690485647,20.050865347990968,50.046652472251886,50.04540100537498,21.898499359700207,44.36947519752434,None,Pass
P00113,2026-01-21,A,M3,O1,Supplier B,20.139209502155733,20.144209295094495,49.94121174941374,49.93539471434178,20.807329225375415,44.550079842981624,Surface finish,Fail
P00114,2026-02-10,C,M2,O2,Supplier C,20.037709431298385,20.050462827451764,50.11475282981965,50.11382883079713,23.4334303144884,44.82711945474798,None,Pass
P00115,2026-02-23,A,M3,O3,Supplier C,20.223275794876077,20.210491178084787,49.83298398786452,49.8374556080442,20.685508766246908,43.86451819556877,None,Pass
P00116,2026-01-25,B,M3,O2,Supplier B,20.186370457647627,20.191719537786387,49.95049846655576,49.95625280933039,18.270775227424146,43.44943143573703,None,Pass
P00117,2026-01-25,C,M1,O2,Supplier A,19.953299296627957,19.954209109710245,50.05427509373018,50.064219166241834,20.008720975738797,42.773075342209964,Surface finish,Fail
P00118,2026-02-25,B,M1,O3,Supplier A,19.946386816159873,19.94323482117234,49.87268360597784,49.87165888596272,21.280146344823223,41.429698200987964,None,Pass
P00119,2026-02-19,B,M1,O3,Supplier A,19.991130999123605,19.99267219366319,50.155679393916145,50.15869044991709,22.63142516227814,43.97319826874772,None,Pass
P00120,2026-02-17,A,M1,O1,Supplier A,19.980696717796846,19.969265395384106,50.08038510076902,50.07921657537822,22.231674035935228,40.48512928203948,None,Pass
P00121,2026-02-09,A,M2,O1,Supplier C,19.98974648073285,19.994384260498087,50.15304365475011,50.1537816739474,23.771883709735782,41.85620969406142,None,Pass
P00122,2026-01-11,A,M3,O2,Supplier B,20.24916758127087,20.2487241296089,50.23527075056026,50.24192814203061,24.173434547517587,46.2038897648259,Surface finish,Fail
P00123,2026-01-14,A,M3,O1,Supplier B,20.22500845163851,20.214561883884496,50.03212286481077,50.01952842625033,23.453120203817825,44.036158216986436,None,Pass
P00124,2026-01-08,A,M2,O3,Supplier C,19.98851081672485,19.979334178761214,49.8334258046304,49.842244882984204,23.550502699289982,45.68738872102124,None,Pass
P00125,2026-01-23,A,M4,O3,Supplier B,19.992013824038068,19.995401739747713,50.04501104032913,50.054095648499434,20.14154152698778,40.758030473441714,None,Pass
P00126,2026-01-07,A,M3,O2,Supplier C,20.258524176969413,20.255082761069296,50.036483018671156,50.05399108613628,21.78678193080589,46.05026289671098,None,Pass
P00127,2026-02-02,A,M1,O2,Supplier B,19.957293166373987,19.967805779283598,50.133682814319926,50.13225464039316,20.97088336895069,42.92620603938013,None,Pass
P00128,2026-01-06,C,M4,O2,Supplier A,20.025434732120143,20.040278768250683,49.90639192465129,49.907981370162034,19.959953837431932,42.270009739301706,None,Pass
P00129,2026-03-05,A,M3,O1,Supplier C,20.179601162736255,20.171518540378994,49.84465045540294,49.83276983309477,22.319033818229627,45.28681441389235,None,Pass
P00130,2026-02-03,B,M3,O3,Supplier C,20.196051671908133,20.208611858650283,49.96078789376469,49.94501832011618,21.70890457000154,45.32772345669809,None,Pass
P00131,2026-01-05,C,M3,O2,Supplier C,20.25680278790777,20.260535293463573,50.17096263822913,50.18380110333704,21.777822835477675,47.25323486646365,None,Pass
P00132,2026-01-15,A,M3,O2,Supplier A,20.230921821491645,20.246148648684922,50.03107466217331,50.02552320162916,24.35539620775053,45.96521197453372,None,Pass
P00133,2026-01-16,B,M1,O2,Supplier A,19.954649213890985,19.967218860851233,49.974039780083054,49.98530343382104,23.724770726041317,42.4102968971049,None,Pass
P00134,2026-02-14,C,M3,O2,Supplier A,20.2453498270522,20.24622987821715,49.98868544499268,49.983606286377935,24.622646358631005,45.13344660311955,None,Pass
P00135,2026-02-20,B,M4,O3,Supplier C,20.003608576418557,20.005445349704225,50.00273580529044,49.990329042158095,23.20560033145045,43.733492389168994,None,Pass
P00136,2026-02-02,A,M2,O1,Supplier C,19.992591758309757,19.99041231657839,50.137130155019754,50.12978094907569,21.598434220964133,43.46365554313907,None,Pass
P00137,2026-02-17,C,M3,O1,Supplier A,20.22471753114855,20.213627631558957,50.02616634721257,50.02562109228569,22.012383787088126,45.43469953113218,None,Pass
P00138,2026-01-10,B,M1,O1,Supplier A,19.98618979712253,19.973312318966226,50.22262686055861,50.2044852596383,24.28373615426366,44.03552877887643,None,Pass
P00139,2026-01-23,B,M2,O2,Supplier C,19.929595431185426,19.930984028560108,50.00144902607825,50.003092068145,20.225551747456795,45.04557198697093,None,Pass
P00140,2026-01-05,A,M2,O1,Supplier B,19.978171379060075,19.968446607515336,49.99528563017653,49.97925126879053,21.237744488693362,42.72202886213255,None,Pass
P00141,2026-01-29,A,M4,O3,Supplier C,20.0064479043354,19.98768917217698,50.108576824851035,50.11516402281796,19.995437181744876,42.41420377011258,None,Pass
P00142,2026-01-07,C,M1,O3,Supplier A,19.98460945211636,20.002878885157358,50.0049018338755,50.005822500291025,23.89025447706519,43.165352935296916,None,Pass
P00143,2026-02-21,A,M2,O3,Supplier B,20.02833041303317,20.02547307981391,50.30496487310448,50.30612366525899,22.018063627272387,40.63138731708517,Tool mark,Fail
P00144,2026-02-06,A,M2,O2,Supplier A,19.99190877206146,20.00824599743602,49.92675073389902,49.939814630360104,23.617969527542392,45.49002812699713,None,Pass
P00145,2026-02-19,B,M4,O2,Supplier C,20.00449950631975,20.01520431316083,49.96550930227374,49.969694185568464,22.12289111883194,45.2614025386724,None,Pass
P00146,2026-02-09,C,M4,O3,Supplier A,20.017660790961518,20.012598266742074,49.793869819437035,49.798374457245814,24.128251054688103,45.554508860743326,None,Pass
P00147,2026-01-07,A,M1,O3,Supplier A,19.947825903341062,19.95542244506056,50.156158605373264,50.17004408988476,23.333007880387594,45.179903073364486,None,Pass
P00148,2026-01-26,A,M1,O1,Supplier A,19.996210529337368,19.98535812633886,50.22648421301723,50.222778428509955,19.599797917285475,38.95303294606451,None,Pass
P00149,2026-01-05,B,M4,O1,Supplier A,19.96217148823357,19.973628330823477,50.04422106575955,50.02594162639652,22.588284192812093,44.26769078572523,Taper,Fail
P00150,2026-01-09,B,M1,O1,Supplier B,19.984417499920653,19.97516484570642,50.17852709930228,50.17818092303444,23.333725633653987,43.58376669815348,None,Pass
P00151,2026-03-02,B,M4,O2,Supplier B,20.008946899113628,20.008836824623742,49.827851165265535,49.82708597905456,20.257366972181178,43.92055507338031,None,Pass
P00152,2026-03-02,C,M2,O2,Supplier C,19.96236319794941,19.977992198599893,50.099358428860334,50.10199213548009,20.30535190102837,44.84814627158688,Taper,Fail
P00153,2026-01-12,A,M4,O1,Supplier C,19.98522017786309,19.980700264902307,50.071324451044376,50.0619025837363,23.237715038470387,46.625281368786254,None,Pass
P00154,2026-01-29,A,M2,O1,Supplier A,19.986799684475834,19.99557819712427,50.24120398931712,50.23875468611649,20.00717166117451,44.72182006088277,None,Pass
P00155,2026-01-22,B,M2,O2,Supplier B,20.028569521201128,20.027497043222013,50.08119269483339,50.08593112356312,21.259763181461402,43.467737371690006,None,Pass
P00156,2026-01-30,A,M3,O2,Supplier C,20.171975548453702,20.194689115263337,50.07833745496443,50.08285810829001,21.106167252617873,45.31344246487499,None,Pass
P00157,2026-02-10,B,M1,O3,Supplier A,19.98475150212407,19.976457303222453,49.965512051297694,49.97163516523128,25.22119140249018,42.79366982146447,None,Pass
P00158,2026-01-27,C,M3,O1,Supplier C,20.187358768660733,20.18759662036539,50.12123712944168,50.11534101711699,20.77835730311822,46.476383609373904,None,Pass
P00159,2026-02-22,A,M3,O3,Supplier B,20.259694326483377,20.255087740085038,49.843830212965955,49.84620726661406,21.059144803795306,45.064234416061744,None,Pass
P00160,2026-01-08,C,M4,O1,Supplier A,20.083250463997036,20.07885665974983,49.95789588183171,49.96357328386609,21.057884585252275,43.84053201589717,Burr,Fail
P00161,2026-02-09,A,M4,O1,Supplier A,20.016745117348524,20.023020128257702,49.97356035943494,49.98043777849652,25.977775524378977,45.514304126342175,None,Pass
P00162,2026-02-16,B,M3,O2,Supplier A,20.2063771284001,20.206075006580342,49.77241594736633,49.79381478533671,22.350060289437486,45.358340739928465,None,Pass
P00163,2026-02-07,B,M2,O1,Supplier A,19.981246475158507,19.991362166353024,50.07782406758063,50.08534916986789,22.382389797162105,43.826626397647196,None,Pass
P00164,2026-02-13,B,M2,O2,Supplier A,19.988731455639655,20.00073638290525,49.8168523726786,49.81089705001707,24.9760787144724,43.98126027793672,None,Pass
P00165,2026-02-11,A,M2,O1,Supplier B,19.96066848581511,19.941698641372902,50.1388691866518,50.12888126038191,22.68892862851115,41.374420491280745,None,Pass
P00166,2026-01-14,C,M4,O1,Supplier C,20.036936674299724,20.030171588188583,49.88155824871249,49.882645409758574,24.083686299411948,44.001038920246614,None,Pass
P00167,2026-02-21,C,M2,O2,Supplier B,19.95601486712025,19.963008949123395,49.99272350940442,50.002558866121554,20.804974120554785,42.659348531461845,None,Pass
P00168,2026-01-21,C,M1,O1,Supplier C,19.992968015160965,19.990454216353633,50.09877077233985,50.09322788409141,21.37307001784696,42.71099599802266,None,Pass
P00169,2026-01-15,C,M2,O2,Supplier A,20.014568933316895,20.012629294009024,50.26248756652849,50.275075516983684,23.60855196180836,45.308855477619396,None,Pass
P00170,2026-02-06,A,M1,O1,Supplier A,20.009570572592995,20.00065488198456,49.938912799235055,49.926792733717264,21.538476935069752,40.54254655061689,None,Pass
P00171,2026-02-12,B,M1,O2,Supplier B,19.952557370768822,19.94861943638548,49.92304962584797,49.93482597934223,23.666654558779037,42.321316884599696,None,Pass
P00172,2026-01-27,A,M1,O1,Supplier A,19.967460971077582,19.97575171548482,50.13329597940359,50.13744515472242,21.235814215143,42.09307364632582,None,Pass
P00173,2026-01-08,C,M4,O1,Supplier B,19.991336894030006,19.973301984021322,50.030639841854516,50.01359574046811,22.9833984712942,45.21562721532676,None,Pass
P00174,2026-03-05,A,M3,O3,Supplier A,20.304956555775195,20.292088668423776,50.07591271928482,50.07777106341274,25.124332297939304,45.44904199755163,None,Pass
